N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
50,lambda_half,0.147423700392246,0.7,NA,0.9019496415235411,0.902,21.18,3.1,75.82,1124.9,0.2183505154639175,0.8790522547959091,0.34337652644491595,0.4130359651204528,24.28,97,12.569350628852847,6.965483413494965,2.3495548861997895,6.965483413494965,2.3495548861997895,0.07180910735561825,0.07650841424900498,0.09416166117315154,0.0764281780544711,8.20413036842058,2.2738101670751996,50,0.2503092783505155,-54.63999999999999
50,lambda_half,0.147423700392246,0.75,NA,0.8953256471739764,0.895,8.14,2.02,88.86,1125.98,0.08391752577319589,0.8501073547195839,0.14821610543706085,0.24212338926264348,10.16,97,11.625107712745665,4.300023730356921,2.3603009147486396,4.300023730356921,2.3603009147486396,0.044330141550071346,0.1288822714099144,0.07207763471112635,0.06607402792080107,6.035135221588423,2.818265207348992,50,0.10474226804123711,-80.72
50,lambda_half,0.147423700392246,0.8,NA,0.8887502999984038,0.889,1.02,0.44,95.98,1127.56,0.010515463917525777,0.8940714285714286,0.019831203470928715,0.12466702487673982,1.46,97,11.949346385002134,1.9111915291839512,1.0133798771981828,1.9111915291839512,1.0133798771981828,0.01970300545550465,0.21932162822432566,0.03659849768071662,0.06789581115533,2.588908839567712,1.6129199929760403,50,0.015051546391752577,-94.96000000000001
50,lambda_half,0.147423700392246,0.9,NA,0.8757441207172283,0.876,0,0,97,1128,0,1,0,NA,0,97,11.35271985530853,0,0,0,0,0,0,0,NA,0,2.4842663847957214,50,0,-97
100,const_high,0.0759660795331001,NA,0.5,0.5,0.5,232.92,0.08,61.08,4655.92,0.7922448979591836,0.9996624382044765,0.8838822464389765,0.8841087148769274,233,294,74.21118659496307,4.05995878133294,0.3404678653660853,4.05995878133294,0.3404678653660853,0.013809383609976,0.0014344894516030468,0.008515032456834553,0.00800478753808862,4.125579736626757,16.49856452536015,50,0.7925170068027211,171.83999999999997
100,const_high,0.0759660795331001,NA,0.6,0.6,0.6,240.48,0.06,53.52,4655.94,0.8179591836734694,0.9997543442884059,0.8996921072856896,0.8991053248018492,240.54,294,73.50404400825501,4.376374419679433,0.23989793748209523,4.376374419679433,0.23989793748209523,0.014885627277821225,9.823972309113424e-4,0.008945957944612592,0.008533666515411768,4.422622732806258,13.98849176808947,50,0.8181632653061224,186.95999999999998
100,const_high,0.0759660795331001,NA,0.65,0.65,0.65,244.62,0.02,49.38,4655.98,0.8320408163265307,0.999919028340081,0.9082528630463331,0.9073086636857739,244.64,294,73.57685034275055,3.069866712522396,0.1414213562373095,3.069866712522396,0.1414213562373095,0.010441723511980831,5.725560981267017e-4,0.006205150229301846,0.005975171116396766,3.0822732135982536,16.391343525280682,50,0.8321088435374149,195.24
100,const_high,0.0759660795331001,NA,0.7,0.7,0.7,247.34,0.02,46.66,4655.98,0.8412925170068027,0.9999209486166007,0.9137223465727881,0.9125967207028156,247.36,294,74.40196890830994,3.7285987957397397,0.1414213562373095,3.7285987957397397,0.1414213562373095,0.012682308829046744,5.589776926375209e-4,0.00742510587264066,0.007188592532267628,3.7566811231756803,13.716889526551585,50,0.8413605442176871,200.68
100,const_high,0.0759660795331001,NA,0.75,0.75,0.75,249.8,0,44.2,4656,0.8496598639455781,1,0.9186908793066639,0.9174126209630853,249.8,294,73.93608315944671,2.857142857142857,0,2.857142857142857,0,0.009718172983479047,0,0.005678670436967612,0.00552439698431665,2.857142857142857,16.418518763118055,50,0.8496598639455782,205.60000000000002
100,const_high,0.0759660795331001,NA,0.8,0.8,0.8,253.02,0,40.98,4656,0.8606122448979591,1,0.9250618126318869,0.923625795564634,253.02,294,72.84065997600555,2.5673777617305507,0,2.5673777617305507,0,0.008732577420852284,0,0.005042665056153604,0.004937434636641662,2.5673777617305507,13.874002557170662,50,0.8606122448979592,212.04000000000002
100,const_high,0.0759660795331001,NA,0.85,0.85,0.85,257.34,0,36.66,4656,0.8753061224489795,1,0.9334887328042346,0.9319080647644878,257.34,294,73.81375929832458,2.3352664489850192,0,2.3352664489850192,0,0.007943083159813118,0,0.004510343676655803,0.004457226050885836,2.3352664489850192,16.175943227425705,50,0.8753061224489795,220.67999999999998
100,const_high,0.0759660795331001,NA,0.9,0.9,0.9,262.4,0,31.6,4656,0.8925170068027211,1,0.9431895640638243,0.9415341188443108,262.4,294,73.69972235679627,2.2406267344797315,0,2.2406267344797315,0,0.007621179368978711,0,0.004247490189277452,0.004241302011563229,2.2406267344797315,13.571463505221033,50,0.8925170068027211,230.79999999999998
100,const_high,0.0759660795331001,NA,0.95,0.95,0.95,267.66,0,26.34,4656,0.910408163265306,1,0.9530918283667826,0.9514605601500631,267.66,294,73.70034029483796,1.8801867037122475,0,1.8801867037122475,0,0.00639519286976963,0,0.003497113344250527,0.003529576389368349,1.8801867037122475,16.354643759862057,50,0.9104081632653062,241.32000000000002
100,const_high,0.0759660795331001,NA,0.99,0.99,0.99,272.22,0,21.78,4656,0.9259183673469389,1,0.9615241217037568,0.9599992895150877,272.22,294,72.01816266059875,1.7989793024413163,0,1.7989793024413163,0,0.006118977219188158,0,0.0032965742000448262,0.0033554857140496736,1.7989793024413163,13.930680417494656,50,0.9259183673469389,250.44000000000003
100,const_high,0.0759660795331001,NA,0.999,0.999,0.999,273.16,0,20.84,4656,0.9291156462585035,1,0.9632473591163643,0.9617529093041408,273.16,294,75.972815990448,1.6081425462251757,0,1.6081425462251757,0,0.0054698726062080245,0,0.002936485485732504,0.002995000607091431,1.6081425462251757,13.673222957212522,50,0.9291156462585035,252.32000000000002
100,const_low,0.0759660795331001,NA,0.001,0.001,0.001,156.46,0,137.54,4656,0.5321768707482993,1,0.6942351738141525,0.7187334572106666,156.46,294,75.57306706428528,8.320640673919875,0,8.320640673919875,0,0.028301498890883937,0,0.023899989768373868,0.019634097740581374,8.320640673919875,16.12908526667022,50,0.5321768707482993,18.920000000000016
