N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
30,lambda_double,0.236544761955738,4,NA,0.3882215691558938,0.388,31.66,0.02,25.34,377.98,0.555438596491228,0.9995121951219512,0.7125040941049475,0.7205612817581605,31.68,57,4.216720986366272,3.1010860507050673,0.1414213562373095,3.1010860507050673,0.1414213562373095,0.054405018433422166,0.0034493013716416984,0.043866825627247974,0.03721667266350419,3.158661561032276,1.2055722810558278,50,0.5557894736842105,6.32
30,lambda_half,0.236544761955738,0.25,NA,0.942578390203481,0.943,52.52,0,4.48,378,0.9214035087719299,1,0.9589245920335261,0.9542030881443954,52.52,57,3.8805732059478766,1.4176727120063175,0,1.4176727120063175,0,0.02487145108783022,0,0.013374813558651543,0.01461523413428627,1.4176727120063175,1.2013880659976262,50,0.9214035087719299,48.040000000000006
30,lambda_half,0.236544761955738,0.33,NA,0.9249091417350701,0.925,51.66,0.06,5.34,377.94,0.9063157894736842,0.998920887123469,0.9501193382126346,0.944666926249678,51.72,57,4.507406077384949,1.5857786344729898,0.31363569143000214,1.5857786344729898,0.31363569143000214,0.027820677797771837,0.005585919600799954,0.01474075181118462,0.015844543681514726,1.7028187915144388,1.2697046335660915,50,0.9073684210526316,46.31999999999999
30,lambda_half,0.236544761955738,0.5,NA,0.8884540216785858,0.888,45.3,0.44,11.7,377.56,0.7947368421052631,0.9906681506336731,0.8812684976156357,0.8728560238096057,45.74,57,4.10645016670227,2.392590603492032,0.6439672954048369,2.392590603492032,0.6439672954048369,0.04197527374547433,0.013635112348631781,0.025791351108208054,0.02580751201421424,2.577849127169583,1.1587367358853635,50,0.8024561403508772,33.599999999999994
40,const_high,0.181622798740864,NA,0.85,0.85,0.85,66.9,0.04,10.1,702.96,0.8688311688311687,0.999424430641822,0.9295133855747122,0.9251659741811911,66.94,77,7.135411114692688,0.9091372900969897,0.1979486637221574,0.9091372900969897,0.1979486637221574,0.011806977793467403,0.0028484064142339596,0.006421068814463906,0.006490985507286769,0.9981615754036242,1.7032395371192384,50,0.8693506493506493,56.800000000000004
40,const_high,0.181622798740864,NA,0.9,0.9,0.9,68.78,0,8.22,703,0.8932467532467531,1,0.9435457116472706,0.9396134015868378,68.78,77,7.394659938812256,1.1830434635864795,0,1.1830434635864795,0,0.015364200825798466,0,0.008544670917070544,0.008851686286739815,1.1830434635864795,1.9281359341347866,50,0.8932467532467533,60.56
40,const_high,0.181622798740864,NA,0.95,0.95,0.95,70.12,0,6.88,703,0.9106493506493506,1,0.9531706026274495,0.9496188917507615,70.12,77,7.1804754829406745,1.1717769516805645,0,1.1717769516805645,0,0.01521788248935803,0,0.00830878248937483,0.008707602339847775,1.1717769516805645,1.9111003432915248,50,0.9106493506493507,63.24
40,const_low,0.181622798740864,NA,0.01,0.01,0.01,35.88,0,41.12,703,0.4659740259740262,1,0.6348719045442405,0.6630370203342066,35.88,77,7.474172315597534,2.8474120007545123,0,2.8474120007545123,0,0.03697937663317521,0,0.034294714099412656,0.027547707151322758,2.8474120007545123,2.051042211269931,50,0.465974025974026,-5.239999999999995
40,const_low,0.181622798740864,NA,0.03,0.03,0.03,33.44,0,43.56,703,0.43428571428571466,1,0.6045046999841011,0.6388813950903871,33.44,77,7.033508424758911,3.0981231975082553,0,3.0981231975082553,0,0.04023536620140583,0,0.03904656918235779,0.03093480788797753,3.0981231975082553,1.9229971803318937,50,0.4342857142857143,-10.120000000000005
40,const_low,0.181622798740864,NA,0.05,0.05,0.05,29.52,0.02,47.48,702.98,0.38337662337662376,0.9994594594594595,0.5534634529668695,0.598636659247401,29.54,77,7.414902467727661,2.366776849020884,0.1414213562373095,2.366776849020884,0.1414213562373095,0.030737361675595928,0.0038221988172245738,0.031260760230961325,0.024100589323759504,2.4261332298494227,1.9187231759215642,50,0.3836363636363636,-17.959999999999997
40,lambda_double,0.181622798740864,2,NA,0.6954156201992202,0.695,37.32,0.2,39.68,702.8,0.48467532467532476,0.9949718855705698,0.6499365219879651,0.6743337497699068,37.52,77,7.32328266620636,4.263944709983458,0.4948716593053935,4.263944709983458,0.4948716593053935,0.055375905324460156,0.01239799772941692,0.049720441306677306,0.04028916143379412,4.35768146553899,1.9411753376236076,50,0.4872727272727273,-2.3599999999999994
40,lambda_double,0.181622798740864,3,NA,0.5799180977303537,0.58,42.3,0.04,34.7,702.96,0.5493506493506491,0.9992582417582417,0.7064861869282042,0.7220353659399501,42.34,77,6.955248227119446,5.29246672938363,0.1979486637221574,5.29246672938363,0.1979486637221574,0.06873333414783915,0.003673372947519102,0.054833260863994336,0.04629537303834308,5.3779975030541936,1.8637633158962472,50,0.54987012987013,7.599999999999994
40,lambda_double,0.181622798740864,4,NA,0.48360288481706615,0.484,38.98,0,38.02,703,0.5062337662337663,1,0.6714662692914558,0.6926424029569365,38.98,77,7.375655403137207,2.744121732291163,0,2.744121732291163,0,0.035637944575209544,0,0.031003162376035905,0.025476309460664162,2.744121732291163,1.9327722562327083,50,0.5062337662337661,0.9599999999999937
40,lambda_half,0.181622798740864,0.25,NA,0.9556097126198955,0.956,70.06,0,6.94,703,0.9098701298701297,1,0.9527086775635981,0.9491588962624953,70.06,77,7.015018458366395,1.4485742462638136,0,1.4485742462638136,0,0.018812652548880746,0,0.010328904712158353,0.010786693279397488,1.4485742462638136,1.870512467763666,50,0.9098701298701299,63.120000000000005
40,lambda_half,0.181622798740864,0.33,NA,0.941825257143231,0.942,68.14,0,8.86,703,0.8849350649350648,1,0.9387703658710923,0.9347651418008932,68.14,77,7.548007698059082,1.9379138794285036,0,1.9379138794285036,0,0.025167712719850723,0,0.014150209112015403,0.014559550537981776,1.9379138794285036,1.9074899349661758,50,0.8849350649350649,59.28
40,lambda_half,0.181622798740864,0.5,NA,0.9131899228534791,0.913,59.78,0.46,17.22,702.54,0.7763636363636361,0.992761178822975,0.8704082887776535,0.8665311195561004,60.24,77,6.873585457801819,3.621308817405719,0.8381222939355788,3.621308817405719,0.8381222939355788,0.04702998464163277,0.012869355383218681,0.029195193007469252,0.02755657642968806,3.9567044625649808,1.813395065535786,50,0.7823376623376623,42.56
50,const_high,0.147423700392246,NA,0.85,0.85,0.85,83.52,0,13.48,1128,0.8610309278350514,1,0.9252541179440508,0.922391738590816,83.52,97,10.794388384819035,1.50156381068239,0,1.50156381068239,0,0.01548003928538544,0,0.008920684914596874,0.008890883310928068,1.50156381068239,2.428324454192714,50,0.8610309278350515,70.03999999999999
50,const_high,0.147423700392246,NA,0.9,0.9,0.9,85.24,0,11.76,1128,0.878762886597938,1,0.9354202796887812,0.9325542206968671,85.24,97,11.242250957489016,1.2545427657200086,0,1.2545427657200086,0,0.012933430574433092,0,0.007327238003930404,0.0073755542704899675,1.2545427657200086,2.4345576081584808,50,0.8787628865979381,73.47999999999999
50,const_high,0.147423700392246,NA,0.95,0.95,0.95,87.74,0,9.26,1128,0.9045360824742268,1,0.9498217973100396,0.9471689093375554,87.74,97,10.597897543907164,1.3372222198670356,0,1.3372222198670356,0,0.013785796081103559,0,0.007571115843478755,0.007762356018409559,1.3372222198670356,2.537887135397186,50,0.9045360824742268,78.47999999999999
50,const_low,0.147423700392246,NA,0.01,0.01,0.01,43.42,0,53.58,1128,0.4476288659793815,1,0.6177002439106619,0.6532915140285308,43.42,97,10.845899906158447,3.2831667142363314,0,3.2831667142363314,0,0.033847079528209555,0,0.03188138457156362,0.025399757874428337,3.2831667142363314,2.7892922387601558,50,0.44762886597938145,-10.159999999999997
