"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
67,4999,2e-04,TRUE,2,0.025999999999982
68,99,0.02,TRUE,1,0.0120000000000005
68,199,0.005,TRUE,1,0.0120000000000005
68,999,0.006,TRUE,1,0.01400000000001
68,4999,0.0034,TRUE,1,0.0260000000000105
69,99,0.01,TRUE,1,0.0120000000000005
69,199,0.005,TRUE,1,0.0129999999999768
69,999,0.001,TRUE,1,0.0159999999999911
69,4999,2e-04,TRUE,1,0.0270000000000152
70,99,0.01,TRUE,0,0.0109999999999957
70,199,0.005,TRUE,0,0.0120000000000005
70,999,0.001,TRUE,0,0.01400000000001
70,4999,2e-04,TRUE,0,0.0270000000000152
71,99,0.02,TRUE,0,0.0120000000000005
71,199,0.005,TRUE,0,0.0120000000000005
71,999,0.001,TRUE,0,0.0149999999999864
71,4999,4e-04,TRUE,0,0.0269999999999868
72,99,0.01,TRUE,2,0.0129999999999768
72,199,0.005,TRUE,2,0.0120000000000005
72,999,0.001,TRUE,2,0.01400000000001
72,4999,2e-04,TRUE,2,0.02800000000002
73,99,0.01,TRUE,2,0.0120000000000005
73,199,0.005,TRUE,2,0.0129999999999768
73,999,0.001,TRUE,2,0.0159999999999911
73,4999,2e-04,TRUE,2,0.0269999999999868
74,99,0.01,TRUE,1,0.0120000000000005
74,199,0.01,TRUE,1,0.0120000000000005
74,999,0.003,TRUE,1,0.0149999999999864
74,4999,0.001,TRUE,1,0.0260000000000105
75,99,0.01,TRUE,2,0.0120000000000005
75,199,0.005,TRUE,2,0.0120000000000005
75,999,0.001,TRUE,2,0.0149999999999864
75,4999,2e-04,TRUE,2,0.0279999999999916
76,99,0.02,TRUE,0,0.0120000000000005
76,199,0.025,TRUE,0,0.0120000000000005
76,999,0.023,TRUE,0,0.0149999999999864
76,4999,0.0212,TRUE,0,0.0269999999999868
77,99,0.01,TRUE,3,0.0120000000000005
77,199,0.005,TRUE,3,0.0120000000000005
77,999,0.001,TRUE,3,0.0149999999999864
77,4999,2e-04,TRUE,3,0.0260000000000105
78,99,0.01,TRUE,2,0.0120000000000005
78,199,0.005,TRUE,2,0.0120000000000005
78,999,0.001,TRUE,2,0.0150000000000148
78,4999,2e-04,TRUE,2,0.0529999999999973
79,99,0.01,TRUE,2,0.0120000000000005
79,199,0.005,TRUE,2,0.0110000000000241
79,999,0.001,TRUE,2,0.01400000000001
79,4999,2e-04,TRUE,2,0.0250000000000057
80,99,0.01,TRUE,2,0.0120000000000005
80,199,0.005,TRUE,2,0.0120000000000005
80,999,0.001,TRUE,2,0.0149999999999864
80,4999,2e-04,TRUE,2,0.025999999999982
81,99,0.01,TRUE,1,0.0109999999999957
81,199,0.005,TRUE,1,0.0109999999999957
81,999,0.001,TRUE,1,0.01400000000001
81,4999,2e-04,TRUE,1,0.0260000000000105
82,99,0.01,TRUE,1,0.0120000000000005
82,199,0.005,TRUE,1,0.0120000000000005
82,999,0.001,TRUE,1,0.0149999999999864
82,4999,2e-04,TRUE,1,0.025999999999982
83,99,0.01,TRUE,3,0.0109999999999957
83,199,0.005,TRUE,3,0.0109999999999957
83,999,0.001,TRUE,3,0.01400000000001
83,4999,2e-04,TRUE,3,0.0250000000000057
84,99,0.01,TRUE,2,0.0120000000000005
84,199,0.005,TRUE,2,0.0120000000000005
84,999,0.001,TRUE,2,0.0150000000000148
84,4999,2e-04,TRUE,2,0.0279999999999916
